ID;Gender;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;Dropout;StoppedGame;Phase;Trial;AverageDistanceAcrossTestTrials;TestingLocation
14;m;44;3;young;no;no;Warm-up;2;1.025;Fife
14;m;44;3;young;no;no;Test;1;1.025;Fife
14;m;44;3;young;no;no;Test;2;1.025;Fife
14;m;44;3;young;no;no;Test;3;1.025;Fife
14;m;44;3;young;no;no;Test;4;1.025;Fife
14;m;44;3;young;no;no;Test;5;1.025;Fife
14;m;44;3;young;no;no;Test;6;1.025;Fife
14;m;44;3;young;no;no;Test;7;1.025;Fife
14;m;44;3;young;no;no;Test;8;1.025;Fife
14;m;44;3;young;no;no;Test;9;1.025;Fife
14;m;44;3;young;no;no;Test;10;1.025;Fife
14;m;44;3;young;no;no;Test;11;1.025;Fife
14;m;44;3;young;no;no;Test;12;1.025;Fife
15;f;54;4;old;no;no;Warm-up;1;0.804;Edinburgh
15;f;54;4;old;no;no;Warm-up;2;0.804;Edinburgh
15;f;54;4;old;no;no;Test;1;0.804;Edinburgh
15;f;54;4;old;no;no;Test;2;0.804;Edinburgh
15;f;54;4;old;no;no;Test;3;0.804;Edinburgh
15;f;54;4;old;no;no;Test;4;0.804;Edinburgh
15;f;54;4;old;no;no;Test;5;0.804;Edinburgh
15;f;54;4;old;no;no;Test;6;0.804;Edinburgh
15;f;54;4;old;no;no;Test;7;0.804;Edinburgh
15;f;54;4;old;no;no;Test;8;0.804;Edinburgh
15;f;54;4;old;no;no;Test;9;0.804;Edinburgh
15;f;54;4;old;no;no;Test;10;0.804;Edinburgh
15;f;54;4;old;no;no;Test;11;0.804;Edinburgh
15;f;54;4;old;no;no;Test;12;0.804;Edinburgh
17;f;40;3;young;no;no;Warm-up;1;1.605;Edinburgh
17;f;40;3;young;no;no;Warm-up;2;1.605;Edinburgh
17;f;40;3;young;no;no;Test;1;1.605;Edinburgh
17;f;40;3;young;no;no;Test;2;1.605;Edinburgh
17;f;40;3;young;no;no;Test;3;1.605;Edinburgh
17;f;40;3;young;no;no;Test;4;1.605;Edinburgh
17;f;40;3;young;no;no;Test;5;1.605;Edinburgh
17;f;40;3;young;no;no;Test;6;1.605;Edinburgh
17;f;40;3;young;no;no;Test;7;1.605;Edinburgh
17;f;40;3;young;no;no;Test;8;1.605;Edinburgh
17;f;40;3;young;no;no;Test;9;1.605;Edinburgh
17;f;40;3;young;no;no;Test;10;1.605;Edinburgh
17;f;40;3;young;no;no;Test;11;1.605;Edinburgh
17;f;40;3;young;no;no;Test;12;1.605;Edinburgh
18;f;44;3;young;no;no;Warm-up;1;0.583;Edinburgh
18;f;44;3;young;no;no;Warm-up;2;0.583;Edinburgh
18;f;44;3;young;no;no;Test;1;0.583;Edinburgh
18;f;44;3;young;no;no;Test;2;0.583;Edinburgh
18;f;44;3;young;no;no;Test;3;0.583;Edinburgh
18;f;44;3;young;no;no;Test;4;0.583;Edinburgh
18;f;44;3;young;no;no;Test;5;0.583;Edinburgh
18;f;44;3;young;no;no;Test;6;0.583;Edinburgh
18;f;44;3;young;no;no;Test;7;0.583;Edinburgh
18;f;44;3;young;no;no;Test;8;0.583;Edinburgh
18;f;44;3;young;no;no;Test;9;0.583;Edinburgh
18;f;44;3;young;no;no;Test;10;0.583;Edinburgh
18;f;44;3;young;no;no;Test;11;0.583;Edinburgh
18;f;44;3;young;no;no;Test;12;0.583;Edinburgh
19;f;39;3;young;no;no;Warm-up;1;0.706;Fife
19;f;39;3;young;no;no;Warm-up;2;0.706;Fife
19;f;39;3;young;no;no;Test;1;0.706;Fife
19;f;39;3;young;no;no;Test;2;0.706;Fife
19;f;39;3;young;no;no;Test;3;0.706;Fife
19;f;39;3;young;no;no;Test;4;0.706;Fife
19;f;39;3;young;no;no;Test;5;0.706;Fife
19;f;39;3;young;no;no;Test;6;0.706;Fife
19;f;39;3;young;no;no;Test;7;0.706;Fife
19;f;39;3;young;no;no;Test;8;0.706;Fife
19;f;39;3;young;no;no;Test;9;0.706;Fife
19;f;39;3;young;no;no;Test;10;0.706;Fife
19;f;39;3;young;no;no;Test;11;0.706;Fife
19;f;39;3;young;no;no;Test;12;0.706;Fife
20;f;56;4;old;no;no;Warm-up;1;0.819;Fife
20;f;56;4;old;no;no;Warm-up;2;0.819;Fife
20;f;56;4;old;no;no;Test;1;0.819;Fife
20;f;56;4;old;no;no;Test;2;0.819;Fife
20;f;56;4;old;no;no;Test;3;0.819;Fife
20;f;56;4;old;no;no;Test;4;0.819;Fife
20;f;56;4;old;no;no;Test;5;0.819;Fife
20;f;56;4;old;no;no;Test;6;0.819;Fife
20;f;56;4;old;no;no;Test;7;0.819;Fife
20;f;56;4;old;no;no;Test;8;0.819;Fife
20;f;56;4;old;no;no;Test;9;0.819;Fife
20;f;56;4;old;no;no;Test;10;0.819;Fife
20;f;56;4;old;no;no;Test;11;0.819;Fife
20;f;56;4;old;no;no;Test;12;0.819;Fife
21;f;43;3;young;no;no;Warm-up;1;0.534;Fife
21;f;43;3;young;no;no;Warm-up;2;0.534;Fife
21;f;43;3;young;no;no;Test;1;0.534;Fife
21;f;43;3;young;no;no;Test;2;0.534;Fife
21;f;43;3;young;no;no;Test;3;0.534;Fife
21;f;43;3;young;no;no;Test;4;0.534;Fife
21;f;43;3;young;no;no;Test;5;0.534;Fife
21;f;43;3;young;no;no;Test;6;0.534;Fife
21;f;43;3;young;no;no;Test;7;0.534;Fife
21;f;43;3;young;no;no;Test;8;0.534;Fife
21;f;43;3;young;no;no;Test;9;0.534;Fife
21;f;43;3;young;no;no;Test;10;0.534;Fife
21;f;43;3;young;no;no;Test;11;0.534;Fife
21;f;43;3;young;no;no;Test;12;0.534;Fife
22;f;57;4;old;yes;yes, trial 5;Warm-up;1;1.315;Fife
22;f;57;4;old;yes;yes, trial 5;Warm-up;2;1.315;Fife
22;f;57;4;old;yes;yes, trial 5;Test;1;1.315;Fife
22;f;57;4;old;yes;yes, trial 5;Test;2;1.315;Fife
22;f;57;4;old;yes;yes, trial 5;Test;3;1.315;Fife
22;f;57;4;old;yes;yes, trial 5;Test;4;1.315;Fife
22;f;57;4;old;yes;yes, trial 5;Test;5;1.315;Fife
23;f;54;4;old;no;no;Warm-up;1;0.922;Fife
23;f;54;4;old;no;no;Warm-up;2;0.922;Fife
23;f;54;4;old;no;no;Test;1;0.922;Fife
23;f;54;4;old;no;no;Test;2;0.922;Fife
23;f;54;4;old;no;no;Test;3;0.922;Fife
23;f;54;4;old;no;no;Test;4;0.922;Fife
23;f;54;4;old;no;no;Test;5;0.922;Fife
23;f;54;4;old;no;no;Test;6;0.922;Fife
23;f;54;4;old;no;no;Test;7;0.922;Fife
23;f;54;4;old;no;no;Test;8;0.922;Fife
23;f;54;4;old;no;no;Test;9;0.922;Fife
23;f;54;4;old;no;no;Test;10;0.922;Fife
23;f;54;4;old;no;no;Test;11;0.922;Fife
23;f;54;4;old;no;no;Test;12;0.922;Fife
24;f;56;4;old;no;no;Warm-up;1;1.090;Edinburgh
24;f;56;4;old;no;no;Warm-up;2;1.090;Edinburgh
24;f;56;4;old;no;no;Test;1;1.090;Edinburgh
24;f;56;4;old;no;no;Test;2;1.090;Edinburgh
24;f;56;4;old;no;no;Test;3;1.090;Edinburgh
24;f;56;4;old;no;no;Test;4;1.090;Edinburgh
24;f;56;4;old;no;no;Test;5;1.090;Edinburgh
24;f;56;4;old;no;no;Test;6;1.090;Edinburgh
24;f;56;4;old;no;no;Test;7;1.090;Edinburgh
24;f;56;4;old;no;no;Test;8;1.090;Edinburgh
24;f;56;4;old;no;no;Test;9;1.090;Edinburgh
24;f;56;4;old;no;no;Test;10;1.090;Edinburgh
24;f;56;4;old;no;no;Test;11;1.090;Edinburgh
24;f;56;4;old;no;no;Test;12;1.090;Edinburgh
25;f;51;4;old;no;no;Warm-up;1;0.368;Edinburgh
25;f;51;4;old;no;no;Warm-up;2;0.368;Edinburgh
25;f;51;4;old;no;no;Test;1;0.368;Edinburgh
25;f;51;4;old;no;no;Test;2;0.368;Edinburgh
25;f;51;4;old;no;no;Test;3;0.368;Edinburgh
25;f;51;4;old;no;no;Test;4;0.368;Edinburgh
25;f;51;4;old;no;no;Test;5;0.368;Edinburgh
25;f;51;4;old;no;no;Test;6;0.368;Edinburgh
25;f;51;4;old;no;no;Test;7;0.368;Edinburgh
25;f;51;4;old;no;no;Test;8;0.368;Edinburgh
25;f;51;4;old;no;no;Test;9;0.368;Edinburgh
25;f;51;4;old;no;no;Test;10;0.368;Edinburgh
25;f;51;4;old;no;no;Test;11;0.368;Edinburgh
25;f;51;4;old;no;no;Test;12;0.368;Edinburgh
26;m;52;4;old;no;no;Warm-up;1;1.211;Fife
26;m;52;4;old;no;no;Warm-up;2;1.211;Fife
26;m;52;4;old;no;no;Test;1;1.211;Fife
26;m;52;4;old;no;no;Test;2;1.211;Fife
26;m;52;4;old;no;no;Test;3;1.211;Fife
26;m;52;4;old;no;no;Test;4;1.211;Fife
26;m;52;4;old;no;no;Test;5;1.211;Fife
26;m;52;4;old;no;no;Test;6;1.211;Fife
26;m;52;4;old;no;no;Test;7;1.211;Fife
26;m;52;4;old;no;no;Test;8;1.211;Fife
26;m;52;4;old;no;no;Test;9;1.211;Fife
26;m;52;4;old;no;no;Test;10;1.211;Fife
26;m;52;4;old;no;no;Test;11;1.211;Fife
26;m;52;4;old;no;no;Test;12;1.211;Fife
27;f;55;4;old;no;no;Warm-up;1;0.824;Fife
27;f;55;4;old;no;no;Warm-up;2;0.824;Fife
27;f;55;4;old;no;no;Test;1;0.824;Fife
27;f;55;4;old;no;no;Test;2;0.824;Fife
27;f;55;4;old;no;no;Test;3;0.824;Fife
27;f;55;4;old;no;no;Test;4;0.824;Fife
27;f;55;4;old;no;no;Test;5;0.824;Fife
27;f;55;4;old;no;no;Test;6;0.824;Fife
27;f;55;4;old;no;no;Test;7;0.824;Fife
27;f;55;4;old;no;no;Test;8;0.824;Fife
27;f;55;4;old;no;no;Test;9;0.824;Fife
27;f;55;4;old;no;no;Test;10;0.824;Fife
27;f;55;4;old;no;no;Test;11;0.824;Fife
27;f;55;4;old;no;no;Test;12;0.824;Fife
28;m;49;4;young;no;no;Warm-up;1;0.824;Fife
28;m;49;4;young;no;no;Warm-up;2;0.824;Fife
28;m;49;4;young;no;no;Test;1;0.824;Fife
28;m;49;4;young;no;no;Test;2;0.824;Fife
28;m;49;4;young;no;no;Test;3;0.824;Fife
28;m;49;4;young;no;no;Test;4;0.824;Fife
28;m;49;4;young;no;no;Test;5;0.824;Fife
28;m;49;4;young;no;no;Test;6;0.824;Fife
28;m;49;4;young;no;no;Test;7;0.824;Fife
28;m;49;4;young;no;no;Test;8;0.824;Fife
28;m;49;4;young;no;no;Test;9;0.824;Fife
28;m;49;4;young;no;no;Test;10;0.824;Fife
28;m;49;4;young;no;no;Test;11;0.824;Fife
28;m;49;4;young;no;no;Test;12;0.824;Fife
29;f;50;4;old;no;no;Warm-up;1;1.054;Fife
29;f;50;4;old;no;no;Warm-up;2;1.054;Fife
29;f;50;4;old;no;no;Test;1;1.054;Fife
29;f;50;4;old;no;no;Test;2;1.054;Fife
29;f;50;4;old;no;no;Test;3;1.054;Fife
29;f;50;4;old;no;no;Test;4;1.054;Fife
29;f;50;4;old;no;no;Test;5;1.054;Fife
29;f;50;4;old;no;no;Test;6;1.054;Fife
29;f;50;4;old;no;no;Test;7;1.054;Fife
29;f;50;4;old;no;no;Test;8;1.054;Fife
29;f;50;4;old;no;no;Test;9;1.054;Fife
29;f;50;4;old;no;no;Test;10;1.054;Fife
29;f;50;4;old;no;no;Test;11;1.054;Fife
29;f;50;4;old;no;no;Test;12;1.054;Fife
30;m;52;4;old;no;no;Warm-up;1;0.52;Fife
30;m;52;4;old;no;no;Warm-up;2;0.52;Fife
30;m;52;4;old;no;no;Test;1;0.52;Fife
30;m;52;4;old;no;no;Test;2;0.52;Fife
30;m;52;4;old;no;no;Test;3;0.52;Fife
30;m;52;4;old;no;no;Test;4;0.52;Fife
30;m;52;4;old;no;no;Test;5;0.52;Fife
30;m;52;4;old;no;no;Test;6;0.52;Fife
30;m;52;4;old;no;no;Test;7;0.52;Fife
30;m;52;4;old;no;no;Test;8;0.52;Fife
30;m;52;4;old;no;no;Test;9;0.52;Fife
30;m;52;4;old;no;no;Test;10;0.52;Fife
30;m;52;4;old;no;no;Test;11;0.52;Fife
30;m;52;4;old;no;no;Test;12;0.52;Fife
31;f;44;3;young;no;no;Warm-up;1;1.005;Fife
31;f;44;3;young;no;no;Warm-up;2;1.005;Fife
31;f;44;3;young;no;no;Test;1;1.005;Fife
31;f;44;3;young;no;no;Test;2;1.005;Fife
31;f;44;3;young;no;no;Test;3;1.005;Fife
31;f;44;3;young;no;no;Test;4;1.005;Fife
31;f;44;3;young;no;no;Test;5;1.005;Fife
31;f;44;3;young;no;no;Test;6;1.005;Fife
31;f;44;3;young;no;no;Test;7;1.005;Fife
31;f;44;3;young;no;no;Test;8;1.005;Fife
31;f;44;3;young;no;no;Test;9;1.005;Fife
31;f;44;3;young;no;no;Test;10;1.005;Fife
31;f;44;3;young;no;no;Test;11;1.005;Fife
31;f;44;3;young;no;no;Test;12;1.005;Fife
32;f;43;3;young;no;no;Warm-up;1;0.853;Fife
32;f;43;3;young;no;no;Warm-up;2;0.853;Fife
32;f;43;3;young;no;no;Test;1;0.853;Fife
32;f;43;3;young;no;no;Test;2;0.853;Fife
32;f;43;3;young;no;no;Test;3;0.853;Fife
32;f;43;3;young;no;no;Test;4;0.853;Fife
32;f;43;3;young;no;no;Test;5;0.853;Fife
32;f;43;3;young;no;no;Test;6;0.853;Fife
32;f;43;3;young;no;no;Test;7;0.853;Fife
32;f;43;3;young;no;no;Test;8;0.853;Fife
32;f;43;3;young;no;no;Test;9;0.853;Fife
32;f;43;3;young;no;no;Test;10;0.853;Fife
32;f;43;3;young;no;no;Test;11;0.853;Fife
32;f;43;3;young;no;no;Test;12;0.853;Fife
33;f;47;3;young;yes;yes, in the middle of the 8th test trial;Warm-up;1;0.782;Fife
33;f;47;3;young;yes;yes, in the middle of the 8th test trial;Warm-up;2;0.782;Fife
33;f;47;3;young;yes;yes, in the middle of the 8th test trial;Test;1;0.782;Fife
33;f;47;3;young;yes;yes, in the middle of the 8th test trial;Test;2;0.782;Fife
33;f;47;3;young;yes;yes, in the middle of the 8th test trial;Test;3;0.782;Fife
33;f;47;3;young;yes;yes, in the middle of the 8th test trial;Test;4;0.782;Fife
33;f;47;3;young;yes;yes, in the middle of the 8th test trial;Test;5;0.782;Fife
33;f;47;3;young;yes;yes, in the middle of the 8th test trial;Test;6;0.782;Fife
33;f;47;3;young;yes;yes, in the middle of the 8th test trial;Test;7;0.782;Fife
34;f;46;3;young;no;yes, after 9 test trials;Warm-up;1;1.424;Fife
34;f;46;3;young;no;yes, after 9 test trials;Warm-up;2;1.424;Fife
34;f;46;3;young;no;yes, after 9 test trials;Test;1;1.424;Fife
34;f;46;3;young;no;yes, after 9 test trials;Test;2;1.424;Fife
34;f;46;3;young;no;yes, after 9 test trials;Test;3;1.424;Fife
34;f;46;3;young;no;yes, after 9 test trials;Test;4;1.424;Fife
34;f;46;3;young;no;yes, after 9 test trials;Test;5;1.424;Fife
34;f;46;3;young;no;yes, after 9 test trials;Test;6;1.424;Fife
34;f;46;3;young;no;yes, after 9 test trials;Test;7;1.424;Fife
34;f;46;3;young;no;yes, after 9 test trials;Test;8;1.424;Fife
34;f;46;3;young;no;yes, after 9 test trials;Test;9;1.424;Fife
35;m;38;3;young;no;no;Warm-up;1;0.887;Fife
35;m;38;3;young;no;no;Warm-up;2;0.887;Fife
35;m;38;3;young;no;no;Test;1;0.887;Fife
35;m;38;3;young;no;no;Test;2;0.887;Fife
35;m;38;3;young;no;no;Test;3;0.887;Fife
35;m;38;3;young;no;no;Test;4;0.887;Fife
35;m;38;3;young;no;no;Test;5;0.887;Fife
35;m;38;3;young;no;no;Test;6;0.887;Fife
35;m;38;3;young;no;no;Test;7;0.887;Fife
35;m;38;3;young;no;no;Test;8;0.887;Fife
35;m;38;3;young;no;no;Test;9;0.887;Fife
35;m;38;3;young;no;no;Test;10;0.887;Fife
35;m;38;3;young;no;no;Test;11;0.887;Fife
35;m;38;3;young;no;no;Test;12;0.887;Fife
36;m;41;3;young;no;no;Warm-up;1;1.236;Fife
36;m;41;3;young;no;no;Warm-up;2;1.236;Fife
36;m;41;3;young;no;no;Test;1;1.236;Fife
36;m;41;3;young;no;no;Test;2;1.236;Fife
36;m;41;3;young;no;no;Test;3;1.236;Fife
36;m;41;3;young;no;no;Test;4;1.236;Fife
36;m;41;3;young;no;no;Test;5;1.236;Fife
36;m;41;3;young;no;no;Test;6;1.236;Fife
36;m;41;3;young;no;no;Test;7;1.236;Fife
36;m;41;3;young;no;no;Test;8;1.236;Fife
36;m;41;3;young;no;no;Test;9;1.236;Fife
36;m;41;3;young;no;no;Test;10;1.236;Fife
36;m;41;3;young;no;no;Test;11;1.236;Fife
36;m;41;3;young;no;no;Test;12;1.236;Fife
37;f;40;3;young;no;no;Warm-up;1;1.045;Fife
37;f;40;3;young;no;no;Warm-up;2;1.045;Fife
37;f;40;3;young;no;no;Test;1;1.045;Fife
37;f;40;3;young;no;no;Test;2;1.045;Fife
37;f;40;3;young;no;no;Test;3;1.045;Fife
37;f;40;3;young;no;no;Test;4;1.045;Fife
37;f;40;3;young;no;no;Test;5;1.045;Fife
37;f;40;3;young;no;no;Test;6;1.045;Fife
37;f;40;3;young;no;no;Test;7;1.045;Fife
37;f;40;3;young;no;no;Test;8;1.045;Fife
37;f;40;3;young;no;no;Test;9;1.045;Fife
37;f;40;3;young;no;no;Test;10;1.045;Fife
37;f;40;3;young;no;no;Test;11;1.045;Fife
37;f;40;3;young;no;no;Test;12;1.045;Fife
38;m;46;3;young;no;no;Warm-up;1;0.618;Edinburgh
38;m;46;3;young;no;no;Warm-up;2;0.618;Edinburgh
38;m;46;3;young;no;no;Test;1;0.618;Edinburgh
38;m;46;3;young;no;no;Test;2;0.618;Edinburgh
38;m;46;3;young;no;no;Test;3;0.618;Edinburgh
38;m;46;3;young;no;no;Test;4;0.618;Edinburgh
38;m;46;3;young;no;no;Test;5;0.618;Edinburgh
38;m;46;3;young;no;no;Test;6;0.618;Edinburgh
38;m;46;3;young;no;no;Test;7;0.618;Edinburgh
38;m;46;3;young;no;no;Test;8;0.618;Edinburgh
38;m;46;3;young;no;no;Test;9;0.618;Edinburgh
38;m;46;3;young;no;no;Test;10;0.618;Edinburgh
38;m;46;3;young;no;no;Test;11;0.618;Edinburgh
38;m;46;3;young;no;no;Test;12;0.618;Edinburgh
40;f;54;4;old;no;no;Warm-up;1;0.437;Edinburgh
